Date,DoYouHaveAnySubmissionOrExam
11.03.2025,false
12.03.2025,false
13.03.2025,false
14.03.2025,false
15.03.2025,true
16.03.2025,true
17.03.2025,false
18.03.2025,false
19.03.2025,true
20.03.2025,false
21.03.2025,true
22.03.2025,false
23.03.2025,false
24.03.2025,true
25.03.2025,false
26.03.2025,false
27.03.2025,false
28.03.2025,false
29.03.2025,false
30.03.2025,false
31.03.2025,false
01.04.2025,false
02.04.2025,false
03.04.2025,false
04.04.2025,false
05.04.2025,false
06.04.2025,false
07.04.2025,true
08.04.2025,false
09.04.2025,true
10.04.2025,false
11.04.2025,true
12.04.2025,false
13.04.2025,true
14.04.2025,false
15.04.2025,false
16.04.2025,false
17.04.2025,false
18.04.2025,false
19.04.2025,true
20.04.2025,false
21.04.2025,false
22.04.2025,false
23.04.2025,true 